lsoa11cd,gamb_dist,pubs_dist,off_dist
E01007554,1.664411765,1.173823529,12.09235294
E01007555,1.944864865,0.776756757,11.20378378
E01007556,1.652608696,1.378695652,10.84086957
E01007557,5.907632653,2.763755102,13.72953061
E01007558,2.364615385,0.409487179,11.15948718
E01007559,5.069519231,2.571923077,15.84719231
E01007560,3.371612903,0.921612903,9.778709677
E01007561,3.369615385,1.797692308,8.799615385
E01007562,2.960384615,1.432692308,9.951923077
E01007563,1.045185185,1.68037037,11.53888889
E01007564,0.7509375,0.9784375,2.8725
E01007565,0.86875,0.66675,2.1925
E01007566,0.462972973,1.436216216,3.4
E01007567,0.390416667,0.3625,1.809583333
E01007568,0.582413793,0.582413793,2.524827586
E01007569,0.743939394,1.271818182,3.430909091
E01007570,1.034210526,1.118947368,2.613421053
E01007571,0.558125,0.4540625,7.2175
E01007572,1.027037037,1.585185185,7.167777778
E01007573,1.461304348,1.282173913,7.28826087
E01007574,1.211,0.927333333,6.814
E01007575,1.423043478,1.794347826,8.096956522
E01007576,0.415517241,0.849655172,7.491034483
E01007577,0.537446809,0.296382979,6.865957447
E01007578,0.5495,0.88425,7.74025
E01007579,1.2346,1.5352,8.414
E01007580,1.611785714,2.022142857,8.353214286
E01007581,1.06925,1.26025,0.989
