X,Y,Crime_type,Month
528789.006665158,184041.985400692,Theft from the person,2019-03
528678.023060459,184138.985659973,Theft from the person,2019-03
528958.023976638,183681.958288949,Theft from the person,2019-03
528953.017187961,183890.028295427,Theft from the person,2019-03
528953.017187961,183890.028295427,Theft from the person,2019-03
528816.99477602,183814.023708206,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528914.021506188,182315.043203664,Theft from the person,2019-03
529247.015923983,182327.955517745,Theft from the person,2019-03
529347.981221265,183343.026084968,Theft from the person,2019-03
529073.972020441,183665.987396718,Theft from the person,2019-03
529088.986523763,183563.995192104,Theft from the person,2019-03
529088.986523763,183563.995192104,Theft from the person,2019-03
529185.987238855,183420.02277349,Theft from the person,2019-03
529127.979580039,183476.967304293,Theft from the person,2019-03
529280.007949694,183406.948103617,Theft from the person,2019-03
529073.977767543,183288.984715128,Theft from the person,2019-03
529008.994821382,183655.990439444,Theft from the person,2019-03
529127.979580039,183476.967304293,Theft from the person,2019-03
529088.986523763,183563.995192104,Theft from the person,2019-03
529280.007949694,183406.948103617,Theft from the person,2019-03
529185.987238855,183420.02277349,Theft from the person,2019-03
529073.972020441,183665.987396718,Theft from the person,2019-03
529088.986523763,183563.995192104,Theft from the person,2019-03
529127.979580039,183476.967304293,Theft from the person,2019-03
529243.00434409,183432.044804629,Theft from the person,2019-03
529598.997561868,183421.978073297,Theft from the person,2019-03
529440.012007466,183467.997430786,Theft from the person,2019-03
529785.980673951,183326.048212784,Theft from the person,2019-03
530192.005609316,182961.994527883,Theft from the person,2019-03
530192.005609316,182961.994527883,Theft from the person,2019-03
530031.013907744,183278.013367886,Theft from the person,2019-03
530252.028076184,182930.039149411,Theft from the person,2019-03
530031.013907744,183278.013367886,Theft from the person,2019-03
530252.028076184,182930.039149411,Theft from the person,2019-03
530252.028076184,182930.039149411,Theft from the person,2019-03
530252.028076184,182930.039149411,Theft from the person,2019-03
529785.980673951,183326.048212784,Theft from the person,2019-03
530252.028076184,182930.039149411,Theft from the person,2019-03
529691.9986197,183380.954569727,Theft from the person,2019-03
530192.005609316,182961.994527883,Theft from the person,2019-03
529188.027889852,183157.018247422,Theft from the person,2019-03
529387.023664961,182990.051253838,Theft from the person,2019-03
529661.978831104,182972.026160675,Theft from the person,2019-03
529483.013325692,182979.033131433,Theft from the person,2019-03
529654.029903097,182861.993486519,Theft from the person,2019-03
529997.991879762,183047.047735585,Theft from the person,2019-03
529854.008747495,182939.988429808,Theft from the person,2019-03
530078.009424712,182797.944953106,Theft from the person,2019-03
529963.000684218,182722.003429054,Theft from the person,2019-03
530078.009424712,182797.944953106,Theft from the person,2019-03
530078.009424712,182797.944953106,Theft from the person,2019-03
530078.009424712,182797.944953106,Theft from the person,2019-03
530078.009424712,182797.944953106,Theft from the person,2019-03
530078.009424712,182797.944953106,Theft from the person,2019-03
528866.99561478,182485.99329214,Theft from the person,2019-03
529263.983522641,182474.04737933,Theft from the person,2019-03
529326.965427965,182503.024362132,Theft from the person,2019-03
529263.983522641,182474.04737933,Theft from the person,2019-03
529445.999664257,182476.011799465,Theft from the person,2019-03
529587.030976902,182734.986576761,Theft from the person,2019-03
529176.976876453,182620.053472968,Theft from the person,2019-03
529551.997606424,182502.972251321,Theft from the person,2019-03
529445.999664257,182476.011799465,Theft from the person,2019-03
529445.999664257,182476.011799465,Theft from the person,2019-03
529551.997606424,182502.972251321,Theft from the person,2019-03
529587.030976902,182734.986576761,Theft from the person,2019-03
